parentScreen,tab,tabPage,content,resolvedFile,generatedTarget,webSquareSrc,loadingMode,status,resolutionMethod,xjsDependencies,warning
"Form/TabLifecycleSelectedReplace.xfdl","tabMain","tabMain.child","../TabContent/Search.xfdl","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","EAGER","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabLifecycleSetUrlReplace.xfdl","tabMain","tabMain.child","../TabContent/Search.xfdl","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabLifecycleStaticEager.xfdl","tabMain","tabMain.child","../TabContent/LifecycleChild.xfdl","TabContent/LifecycleChild.xfdl","TabContent/LifecycleChild.xml","../TabContent/LifecycleChild.xml","EAGER","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabLifecycleStaticLazy.xfdl","tabMain","tabMain.child","../TabContent/LifecycleChild.xfdl","TabContent/LifecycleChild.xfdl","TabContent/LifecycleChild.xml","../TabContent/LifecycleChild.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabMissingContent.xfdl","tabMissing","tabMissing.pageMissing","../TabContent/MissingSearch.xfdl","","","","LAZY","UNRESOLVED","PATH","","프로젝트 source tree에서 대상 XFDL을 찾지 못함: ../TabContent/MissingSearch.xfdl"
"Form/TabMixedContent.xfdl","tabMixed","tabMixed.pageMixed","../TabContent/Search.xfdl","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","LAZY","CONVERTED","RELATIVE","[]","mixed inline/external"
"Form/TabNestedDynamic.xfdl","tabMain","tabMain.first","../TabContent/NestedDynamicFirst.xfdl","TabContent/NestedDynamicFirst.xfdl","TabContent/NestedDynamicFirst.xml","../TabContent/NestedDynamicFirst.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabOnloadFailureHost.xfdl","tabMain","tabMain.failChild","../TabContent/OnloadFailureChild.xfdl","TabContent/OnloadFailureChild.xfdl","TabContent/OnloadFailureChild.xml","../TabContent/OnloadFailureChild.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabOwnerFrameComponent.xfdl","tabMain","tabMain.child","../TabContent/OwnerBridgeChild.xfdl","TabContent/OwnerBridgeChild.xfdl","TabContent/OwnerBridgeChild.xml","../TabContent/OwnerBridgeChild.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabOwnerFrameDataset.xfdl","tabMain","tabMain.child","../TabContent/OwnerBridgeChild.xfdl","TabContent/OwnerBridgeChild.xfdl","TabContent/OwnerBridgeChild.xml","../TabContent/OwnerBridgeChild.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabOwnerFrameFunction.xfdl","tabMain","tabMain.child","../TabContent/OwnerBridgeChild.xfdl","TabContent/OwnerBridgeChild.xfdl","TabContent/OwnerBridgeChild.xml","../TabContent/OwnerBridgeChild.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabOwnerFrameHost.xfdl","tabMain","tabMain.ownerChild","../TabContent/OwnerBridgeChild.xfdl","TabContent/OwnerBridgeChild.xfdl","TabContent/OwnerBridgeChild.xml","../TabContent/OwnerBridgeChild.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabParentAccess.xfdl","tabParent","tabParent.pageChild","../TabContent/ParentAccessChild.xfdl","TabContent/ParentAccessChild.xfdl","TabContent/ParentAccessChild.xml","../TabContent/ParentAccessChild.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabParentCallsChild.xfdl","tabMain","tabMain.pageChild","../TabContent/RuntimeBridgeChild.xfdl","TabContent/RuntimeBridgeChild.xfdl","TabContent/RuntimeBridgeChild.xml","../TabContent/RuntimeBridgeChild.xml","LAZY","CONVERTED","RELATIVE","[Script/TabChildCommon.xjs]","현재 XFDL 기준 상대 경로"
"Form/TabParentCallsChildIndexed.xfdl","tabMain","tabMain.pageChild","../TabContent/RuntimeBridgeChild.xfdl","TabContent/RuntimeBridgeChild.xfdl","TabContent/RuntimeBridgeChild.xml","../TabContent/RuntimeBridgeChild.xml","EAGER","CONVERTED","RELATIVE","[Script/TabChildCommon.xjs]","현재 XFDL 기준 상대 경로"
"Form/TabParentDepth2.xfdl","tabMain","tabMain.first","../TabContent/ParentDepth2First.xfdl","TabContent/ParentDepth2First.xfdl","TabContent/ParentDepth2First.xml","../TabContent/ParentDepth2First.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabParentDepth3.xfdl","tabMain","tabMain.first","../TabContent/ParentDepth3First.xfdl","TabContent/ParentDepth3First.xfdl","TabContent/ParentDepth3First.xml","../TabContent/ParentDepth3First.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabParentDepthMain.xfdl","tabMain","tabMain.first","../TabContent/ParentDepthFirst.xfdl","TabContent/ParentDepthFirst.xfdl","TabContent/ParentDepthFirst.xml","../TabContent/ParentDepthFirst.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
"Form/TabParentDirect.xfdl","tabMain","tabMain.child","../TabContent/ChildBridgeParent.xfdl","TabContent/ChildBridgeParent.xfdl","TabContent/ChildBridgeParent.xml","../TabContent/ChildBridgeParent.xml","LAZY","CONVERTED","RELATIVE","[]","현재 XFDL 기준 상대 경로"
